Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Population [Pop]
Food Prices for Nutrition 1.1,FPN 1.1,Cabo Verde,CPV,2020,YR2020,..,..,3.563,..,..,..,..,..,..,..,..,..,3.181,..,..,..,..,40.6,582640
Food Prices for Nutrition 1.1,FPN 1.1,Cambodia,KHM,2020,YR2020,..,..,3.888,..,..,..,..,..,..,..,..,..,3.471,..,..,..,..,..,16396860
Food Prices for Nutrition 1.1,FPN 1.1,Cameroon,CMR,2020,YR2020,..,..,2.808,..,..,..,..,..,..,..,..,..,2.507,..,..,..,..,58.5,26491087
Food Prices for Nutrition 1.1,FPN 1.1,Canada,CAN,2020,YR2020,..,..,3.008,..,..,..,..,..,..,..,..,..,2.686,..,..,..,..,0.7,38037204
Food Prices for Nutrition 1.1,FPN 1.1,Cayman Islands,CYM,2020,YR2020,..,..,2.765,..,..,..,..,..,..,..,..,..,2.469,..,..,..,..,..,67311
Food Prices for Nutrition 1.1,FPN 1.1,Central African Republic,CAF,2020,YR2020,..,..,3.615,..,..,..,..,..,..,..,..,..,3.228,..,..,..,..,93.9,5343020
Food Prices for Nutrition 1.1,FPN 1.1,Chad,TCD,2020,YR2020,..,..,2.821,..,..,..,..,..,..,..,..,..,2.519,..,..,..,..,80.8,16644701
Food Prices for Nutrition 1.1,FPN 1.1,Chile,CHL,2020,YR2020,..,..,3.402,..,..,..,..,..,..,..,..,..,3.038,..,..,..,..,5,19300315
Food Prices for Nutrition 1.1,FPN 1.1,China,CHN,2020,YR2020,..,..,2.983,..,..,..,..,..,..,..,..,..,2.663,..,..,..,..,14.3,1411100000
Food Prices for Nutrition 1.1,FPN 1.1,Colombia,COL,2020,YR2020,..,..,3.065,..,..,..,..,..,..,..,..,..,2.737,..,..,..,..,26.5,50930662
Food Prices for Nutrition 1.1,FPN 1.1,Comoros,COM,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,"Congo, Dem. Rep.",COD,2020,YR2020,..,..,2.077,..,..,..,..,..,..,..,..,..,1.854,..,..,..,..,84.8,92853164
Food Prices for Nutrition 1.1,FPN 1.1,"Congo, Rep.",COG,2020,YR2020,..,..,3.422,..,..,..,..,..,..,..,..,..,3.055,..,..,..,..,90.3,5702174
Food Prices for Nutrition 1.1,FPN 1.1,Costa Rica,CRI,2020,YR2020,..,..,4.11,..,..,..,..,..,..,..,..,..,3.67,..,..,..,..,16.3,5123105
Food Prices for Nutrition 1.1,FPN 1.1,Côte d'Ivoire,CIV,2020,YR2020,..,..,3.61,..,..,..,..,..,..,..,..,..,3.223,..,..,..,..,72.6,26811790
Food Prices for Nutrition 1.1,FPN 1.1,Croatia,HRV,2020,YR2020,..,..,4.277,..,..,..,..,..,..,..,..,..,3.819,..,..,..,..,3.4,4047680
Food Prices for Nutrition 1.1,FPN 1.1,Curacao,CUW,2020,YR2020,..,..,3.328,..,..,..,..,..,..,..,..,..,2.971,..,..,..,..,..,154947
Food Prices for Nutrition 1.1,FPN 1.1,Cyprus,CYP,2020,YR2020,..,..,2.969,..,..,..,..,..,..,..,..,..,2.651,..,..,..,..,0.3,1237537
Food Prices for Nutrition 1.1,FPN 1.1,Czech Republic,CZE,2020,YR2020,..,..,2.966,..,..,..,..,..,..,..,..,..,2.648,..,..,..,..,0.1,10697858
Food Prices for Nutrition 1.1,FPN 1.1,Denmark,DNK,2020,YR2020,..,..,2.544,..,..,..,..,..,..,..,..,..,2.271,..,..,..,..,0.4,5831404
Food Prices for Nutrition 1.1,FPN 1.1,Djibouti,DJI,2020,YR2020,..,..,3.112,..,..,..,..,..,..,..,..,..,2.779,..,..,..,..,65.2,1090156
